# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00117647    	2.402636e-02	(1.517740e-04 0.000000e+00 0.000000e+00)
0.00252101    	7.553987e-02	(6.967948e-04 0.000000e+00 0.000000e+00)
0.00411001    	1.357099e-01	(1.851289e-03 0.000000e+00 0.000000e+00)
0.00587556    	2.048943e-01	(3.781011e-03 0.000000e+00 0.000000e+00)
0.00789334    	2.833070e-01	(6.816939e-03 0.000000e+00 0.000000e+00)
0.0103147     	3.756984e-01	(1.162193e-02 0.000000e+00 0.000000e+00)
0.012736      	4.754888e-01	(1.768264e-02 0.000000e+00 0.000000e+00)
0.0151573     	5.749245e-01	(2.498346e-02 0.000000e+00 0.000000e+00)
0.0175787     	6.733270e-01	(3.350565e-02 0.000000e+00 0.000000e+00)
0.02          	7.706029e-01	(4.322727e-02 0.000000e+00 0.000000e+00)
0.0228571     	8.760571e-01	(5.620711e-02 0.000000e+00 0.000000e+00)
0.0262857     	9.990947e-01	(7.387545e-02 0.000000e+00 0.000000e+00)
0.0297143     	1.127599e+00	(9.374011e-02 0.000000e+00 0.000000e+00)
0.0331429     	1.251219e+00	(1.156987e-01 0.000000e+00 0.000000e+00)
0.0365714     	1.369247e+00	(1.396380e-01 0.000000e+00 0.000000e+00)
0.04          	1.480938e+00	(1.654347e-01 0.000000e+00 0.000000e+00)
0.044         	1.595520e+00	(1.977004e-01 0.000000e+00 0.000000e+00)
0.048         	1.707165e+00	(2.320866e-01 0.000000e+00 0.000000e+00)
0.052         	1.808921e+00	(2.683520e-01 0.000000e+00 0.000000e+00)
0.056         	1.897119e+00	(3.062422e-01 0.000000e+00 0.000000e+00)
0.06          	1.974644e+00	(3.454915e-01 0.000000e+00 0.000000e+00)
0.064         	2.037878e+00	(3.858246e-01 0.000000e+00 0.000000e+00)
0.0672        	2.081498e+00	(4.186814e-01 0.000000e+00 0.000000e+00)
0.0704        	2.112912e+00	(4.519034e-01 0.000000e+00 0.000000e+00)
0.0736        	2.135317e+00	(4.853413e-01 0.000000e+00 0.000000e+00)
