# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
500           	((-9.115875e+19 -5.550527e+19 -2.662516e+19) (-1.480108e+07 -8.714902e+06 -2.120105e+07) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.844748e+20 -1.536899e+21 -5.249519e+19) (3.146908e+08 -4.140774e+08 -2.610480e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
510           	((-2.380740e+20 -1.754410e+20 -9.170608e+19) (-2.272005e+07 -1.696252e+07 -4.595221e+07) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.011080e+21 -4.132878e+21 -1.308440e+20) (4.992558e+08 -6.769539e+08 -3.834343e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
520           	((-8.897234e+20 -4.354841e+20 -2.586251e+20) (-4.524683e+07 -2.666077e+07 -7.279109e+07) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.725085e+21 -1.500273e+22 -4.999670e+19) (6.874524e+08 -1.278624e+09 -1.989908e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
530           	((-2.017481e+21 -1.075986e+21 -5.976834e+20) (-7.556436e+07 -4.114767e+07 -1.285740e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.884878e+22 -3.468766e+22 -5.076013e+20) (1.160173e+09 -2.042015e+09 -5.509383e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
540           	((-5.224979e+21 -3.528743e+21 -1.438329e+21) (-1.078195e+08 -6.883231e+07 -1.656594e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.000380e+22 -8.787577e+22 -1.226389e+20) (2.092558e+09 -3.013775e+09 -6.703655e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
550           	((-1.542918e+22 -9.189315e+21 -4.596309e+21) (-1.838037e+08 -1.299316e+08 -2.906461e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.576564e+23 -2.587648e+23 -8.434940e+20) (3.682184e+09 -5.061562e+09 -4.870185e+07) (0.000000e+00 0.000000e+00 0.000000e+00))
560           	((-3.782636e+22 -2.975014e+22 -1.487250e+22) (-2.987061e+08 -2.298877e+08 -5.742144e+08) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.116769e+23 -6.434055e+23 -5.440564e+21) (6.432371e+09 -7.887717e+09 -2.579524e+08) (0.000000e+00 0.000000e+00 0.000000e+00))
570           	((-1.102732e+23 -6.901589e+22 -4.191159e+22) (-4.766764e+08 -3.561977e+08 -1.002326e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.222932e+24 -1.901789e+24 -2.007715e+22) (1.102113e+10 -1.333153e+10 -3.881299e+08) (0.000000e+00 0.000000e+00 0.000000e+00))
580           	((-3.284991e+23 -2.158472e+23 -1.229006e+23) (-8.358522e+08 -5.560637e+08 -1.763373e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.849250e+24 -5.680825e+24 6.680419e+21) (2.048721e+10 -2.515907e+10 -1.161984e+09) (0.000000e+00 0.000000e+00 0.000000e+00))
590           	((-8.372710e+23 -5.776488e+23 -2.754257e+23) (-1.374778e+09 -9.462776e+08 -2.552604e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.905246e+24 -1.421322e+25 -6.885026e+23) (3.382605e+10 -3.886543e+10 -1.700613e+09) (0.000000e+00 0.000000e+00 0.000000e+00))
600           	((-2.003433e+24 -9.607072e+23 -6.753686e+23) (-2.248128e+09 -1.365041e+09 -4.240649e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.716730e+25 -3.351592e+25 -1.155475e+24) (4.226881e+10 -6.117482e+10 -1.036088e+09) (0.000000e+00 0.000000e+00 0.000000e+00))
610           	((-3.978103e+24 -3.004354e+24 -1.395454e+24) (-3.286958e+09 -2.281089e+09 -6.296087e+09) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.231778e+25 -6.705943e+25 -1.814316e+24) (6.552981e+10 -8.414677e+10 -2.065498e+09) (0.000000e+00 0.000000e+00 0.000000e+00))
